model,model_key,active_params_B,architecture,topic,openalex_works,n_refs,title_match_rate,relevance,title_quality
Gemma 4 31B,gemma_4_31b,31,dense,Health,8504910,9,0.3333,0.9444,0.3148
Gemma 4 31B,gemma_4_31b,31,dense,Infectious disease,469401,10,0.5,0.95,0.475
Gemma 4 31B,gemma_4_31b,31,dense,Insecticide-treated bed nets for malaria,1331,10,0.0,0.85,0.0
Gemma 4 31B,gemma_4_31b,31,dense,Malaria prevention,13463,10,0.1,0.9,0.09
Gemma 4 31B,gemma_4_31b,31,dense,Microfinance loan repayment,1341,10,0.2,0.85,0.17
Gemma 4 31B,gemma_4_31b,31,dense,Mini-grid electrification,747,10,0.0,1.0,0.0
Gemma 4 31B,gemma_4_31b,31,dense,Mobile banking,17971,10,0.2,0.9,0.18
Gemma 4 31B,gemma_4_31b,31,dense,Political Science,285942,10,0.8,1.0,0.8
Gemma 4 31B,gemma_4_31b,31,dense,Renewable energy,501950,9,0.2222,0.9444,0.2099
Gemma 4 31B,gemma_4_31b,31,dense,Rural electrification,9391,10,0.1,0.9,0.09
Gemma 4 31B,gemma_4_31b,31,dense,School dropout,19413,10,0.2,0.95,0.19
Gemma 4 31B,gemma_4_31b,31,dense,School dropout prevention programs in rural areas,32,10,0.0,0.9,0.0
Gemma 4 31B,gemma_4_31b,31,dense,Voter turnout,10283,10,0.2,0.95,0.19
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Biometric voter registration,171,10,0.1,0.75,0.075
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Climate change,1222665,10,0.6,0.9,0.54
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Climate change adaptation in agriculture,25815,10,0.5,0.55,0.275
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.3,0.9,0.27
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Democratic elections,48258,10,0.2,0.65,0.13
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Digital financial services,34424,10,0.1,0.55,0.055
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Economics,767282,10,0.9,0.8,0.72
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Education,5921253,10,0.8,0.85,0.68
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Energy,8631334,10,0.4,0.9,0.36
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Environmental Science,247835,9,0.7778,1.0,0.7778
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Girls education,71707,10,0.1,0.7,0.07
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Health,8504910,10,0.3,0.85,0.255
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Infectious disease,469401,10,0.8,0.95,0.76
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Insecticide-treated bed nets for malaria,1331,10,0.3,0.85,0.255
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Malaria prevention,13463,10,0.4,0.55,0.22
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Microfinance loan repayment,1341,10,0.2,0.6,0.12
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Mini-grid electrification,747,10,0.0,1.0,0.0
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Mobile banking,17971,10,0.0,1.0,0.0
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Political Science,285942,10,0.9,0.75,0.675
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Renewable energy,501950,10,0.6,0.75,0.45
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Rural electrification,9391,10,0.0,0.95,0.0
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,School dropout,19413,10,0.1,0.9,0.09
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,School dropout prevention programs in rural areas,32,10,0.0,1.0,0.0
Qwen3 32B nothink,qwen3_32b_nothink,32,dense,Voter turnout,10283,10,0.3,0.95,0.285
Llama 3.1 70B,llama_3_1_70b,70,dense,Biometric voter registration,171,10,0.0,1.0,0.0
Llama 3.1 70B,llama_3_1_70b,70,dense,Climate change,1222665,9,0.7778,1.0,0.7778
Llama 3.1 70B,llama_3_1_70b,70,dense,Climate change adaptation in agriculture,25815,9,1.0,0.6667,0.6667
Llama 3.1 70B,llama_3_1_70b,70,dense,Climate-smart agriculture for smallholder farmers,1406,9,0.6667,0.8889,0.5926
Llama 3.1 70B,llama_3_1_70b,70,dense,Democratic elections,48258,9,0.8889,0.8333,0.7407
Llama 3.1 70B,llama_3_1_70b,70,dense,Digital financial services,34424,9,0.5556,0.8889,0.4938
Llama 3.1 70B,llama_3_1_70b,70,dense,Economics,767282,9,1.0,0.9444,0.9444
Llama 3.1 70B,llama_3_1_70b,70,dense,Education,5921253,10,0.7,0.9,0.63
Llama 3.1 70B,llama_3_1_70b,70,dense,Energy,8631334,10,0.4,0.95,0.38
Llama 3.1 70B,llama_3_1_70b,70,dense,Environmental Science,247835,10,1.0,0.95,0.95
Llama 3.1 70B,llama_3_1_70b,70,dense,Girls education,71707,1,1.0,0.5,0.5
Llama 3.1 70B,llama_3_1_70b,70,dense,Health,8504910,9,0.6667,0.9444,0.6296
Llama 3.1 70B,llama_3_1_70b,70,dense,Infectious disease,469401,9,0.7778,1.0,0.7778
Llama 3.1 70B,llama_3_1_70b,70,dense,Insecticide-treated bed nets for malaria,1331,9,0.8889,0.9444,0.8395
Llama 3.1 70B,llama_3_1_70b,70,dense,Malaria prevention,13463,9,1.0,0.8333,0.8333
Llama 3.1 70B,llama_3_1_70b,70,dense,Microfinance loan repayment,1341,9,0.6667,0.6111,0.4074
Llama 3.1 70B,llama_3_1_70b,70,dense,Mini-grid electrification,747,9,0.4444,0.8333,0.3704
Llama 3.1 70B,llama_3_1_70b,70,dense,Mobile banking,17971,9,0.7778,0.7778,0.6049
Llama 3.1 70B,llama_3_1_70b,70,dense,Political Science,285942,9,0.8889,0.8889,0.7901
Llama 3.1 70B,llama_3_1_70b,70,dense,Renewable energy,501950,10,0.7,1.0,0.7
Llama 3.1 70B,llama_3_1_70b,70,dense,Rural electrification,9391,9,0.2222,0.8333,0.1852
Llama 3.1 70B,llama_3_1_70b,70,dense,School dropout,19413,9,0.5556,1.0,0.5556
Llama 3.1 70B,llama_3_1_70b,70,dense,School dropout prevention programs in rural areas,32,10,0.9,0.5,0.45
Llama 3.1 70B,llama_3_1_70b,70,dense,Voter turnout,10283,9,0.8889,0.8333,0.7407
Llama 3.3 70B,llama_3_3_70b,70,dense,Biometric voter registration,171,9,0.0,1.0,0.0
Llama 3.3 70B,llama_3_3_70b,70,dense,Climate change,1222665,10,1.0,0.9,0.9
Llama 3.3 70B,llama_3_3_70b,70,dense,Climate change adaptation in agriculture,25815,10,0.4,0.65,0.26
Llama 3.3 70B,llama_3_3_70b,70,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.0,0.75,0.0
